Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
16634,The Glass Bead Game,Hermann Hesse,"Hesse, Hermann","Richard Winston, Clara Winston, Theodore Ziolkowski","=""0312278497""","=""9780312278496""",0,4.10,Holt Paperbacks,Paperback,558,1998,1943,,2019/01/29,to-read,to-read (#79),to-read,,,,0,0
5625477,Biocentrism: How Life and Consciousness Are the Keys to Understanding the True Nature of the Universe,Robert Lanza,"Lanza, Robert",Bob Berman,"=""1933771690""","=""9781933771694""",0,3.94,BenBella Books,Hardcover,223,2009,2009,,2019/01/29,to-read,to-read (#78),to-read,,,,0,0
40180066,Team Human,Douglas Rushkoff,"Rushkoff, Douglas",,"=""039365169X""","=""9780393651690""",0,3.83,W. W. Norton & Company,Hardcover,256,2019,,,2019/01/28,to-read,to-read (#77),to-read,,,,0,0
27209431,The Inevitable: Understanding the 12 Technological Forces That Will Shape Our Future,Kevin Kelly,"Kelly, Kevin",,"=""""","=""""",0,3.89,Viking,Hardcover,336,2016,2016,,2019/01/26,to-read,to-read (#76),to-read,,,,0,0
38245183,"Going Horizontal: Creating a Non-Hierarchical Organization, One Practice at a Time",Samantha Slade,"Slade, Samantha",,"=""1523095261""","=""9781523095261""",0,3.92,Berrett-Koehler Publishers,Paperback,256,2018,,,2019/01/25,to-read,to-read (#75),to-read,,,,0,0
979695,Origins of Sex: Three Billion Years of Genetic Recombination,Lynn Margulis,"Margulis, Lynn",Dorion Sagan,"=""0300046197""","=""9780300046199""",0,4.14,Yale University Press,Paperback,259,1990,1986,,2019/01/13,to-read,to-read (#74),to-read,,,,0,0
378705,"Slanted Truths: Essays on Gaia, Symbiosis and Evolution",Lynn Margulis,"Margulis, Lynn","Dorion Sagan, P. Morrison","=""0387949275""","=""9780387949277""",0,3.86,Copernicus,Hardcover,368,1997,1997,,2019/01/13,to-read,to-read (#73),to-read,,,,0,0
62996,"Mind, Life and Universe: Conversations with Great Scientists of Our Time (Sciencewriters)",Lynn Margulis,"Margulis, Lynn",Eduardo Punset,"=""1933392436""","=""9781933392431""",0,3.98,Chelsea Green Publishing,Paperback,358,2007,,,2019/01/13,to-read,to-read (#72),to-read,,,,0,0
91261,Acquiring Genomes: A Theory Of The Origin Of Species,Lynn Margulis,"Margulis, Lynn",Dorion Sagan,"=""0465043925""","=""9780465043927""",0,3.97,Basic Books,Paperback,256,2003,2002,,2019/01/13,to-read,to-read (#71),to-read,,,,0,0
979694,Microcosmos: Four Billion Years of Microbial Evolution,Lynn Margulis,"Margulis, Lynn",Dorion Sagan,"=""0520210646""","=""9780520210646""",0,4.22,University of California Press,Paperback,304,1997,1986,,2019/01/13,to-read,to-read (#70),to-read,,,,0,0
91263,Symbiotic Planet: A New Look at Evolution,Lynn Margulis,"Margulis, Lynn",,"=""0465072720""","=""9780465072729""",0,4.02,Basic Books,Paperback,176,1999,1998,,2019/01/13,to-read,to-read (#69),to-read,,,,0,0
876843,The Octopus: A Story of California,Frank Norris,"Norris, Frank",Kevin Starr,"=""""","=""""",0,3.82,Penguin Classics,Paperback,688,1994,1901,,2018/12/24,to-read,to-read (#68),to-read,,,,0,0
28116739,Other Minds,Peter Godfrey-Smith,"Godfrey-Smith, Peter",,"=""0374227764""","=""9780374227760""",0,3.88,"Farrar, Straus and Giroux",Hardcover,257,2016,2016,,2018/12/24,to-read,to-read (#67),to-read,,,,0,0
189989,Finite and Infinite Games: A Vision of Life as Play and Possibility,James P. Carse,"Carse, James P.",,"=""0345341848""","=""9780345341846""",4,3.73,Ballantine,Mass Market Paperback,180,1987,1986,2018/12/05,2018/02/20,,,read,,,,1,0
22227908,Identity Is the New Money,David Birch,"Birch, David",Ed  Conway,"=""190799436X""","=""9781907994364""",0,3.96,London School of Economics and Political Science,Kindle Edition,128,2014,2014,,2018/10/15,to-read,to-read (#66),to-read,,,,0,0
6465169,Cosmic Conversations: Dialogues on the Nature of the Universe and the Search for Reality,Stephan Martin,"Martin, Stephan","Brian Swimme, Fred Alan Wolf, Peter Russell, Bernard Haisch, Richard Tarnas, Barbara Marx Hubbard","=""1601630778""","=""9781601630773""",0,4.14,New Page Books,Paperback,288,2009,2009,,2018/08/29,to-read,to-read (#65),to-read,,,,0,0
173693,Cosmos and Psyche: Intimations of a New World View,Richard Tarnas,"Tarnas, Richard",,"=""0452288592""","=""9780452288591""",0,4.25,Plume/Penguin Group (NYC),Paperback,592,2007,1996,,2018/08/29,to-read,to-read (#63),to-read,,,,0,0
966402,Prometheus the Awakener: an Essay on the Archetypal Meaning of the Planet Uranus (Dunquin Series 21),Richard Tarnas,"Tarnas, Richard","Margot McLean, Blobodan Trajkovic, Johannes Peter Müller","=""0882142216""","=""9780882142210""",0,4.25,Spring Publications,Paperback,149,1998,1995,,2018/08/29,to-read,to-read (#64),to-read,,,,0,0
586992,The Passion of the Western Mind: Understanding the Ideas that Have Shaped Our World View,Richard Tarnas,"Tarnas, Richard",,"=""0345368096""","=""9780345368096""",0,4.24,Ballantine Books (NY),Paperback,560,1993,1991,,2018/08/29,to-read,to-read (#62),to-read,,,,0,0
40550158,"The Social Singularity: How decentralization will allow us to transcend politics, create global prosperity, and avoid the robot apocalypse",Max Borders,"Borders, Max",,"=""""","=""""",4,4.02,Social Evolution,Kindle Edition,210,2018,,2018/08/12,2018/07/13,,,read,,,,1,0
